Country_A,Country_B,Conflict_Type,Year,Duration_Days,Military_Deaths_A,Military_Deaths_B,Civilian_Deaths,Economic_Loss_USD_Billions,Temperature_Avg_C,Rainfall_mm,Terrain_Type,Population_A_Millions,Population_B_Millions,GDP_A_Billions,GDP_B_Billions,Alliance_A,Alliance_B,Weapons_Used,Air_Strikes,Naval_Battles,Sanctions,Refugees_Millions,Ceasefire,Outcome,Latitude,Longitude,Climate_Zone,Resource_Dispute,UN_Involvement,conflict_type_valid,Conflict_Type_Valid,Year_Valid,Population_Valid,GDP_Valid,Conflict_Coordinates_Valid,On_Land,Land_Valid,Total_Deaths,Civilian_Ratio,Military_Deaths_Ratio_A,Military_Deaths_Ratio_B,Civilian_Deaths_IF_Label,Military_Deaths_IF_Label,Civ_Deaths_Valid,Mil_Deaths_Valid,Total_Deaths_Valid,GDP_Loss_Ratio,GDP_IF_Label,GDP_Loss_IF_Label,GDP_IF_Valid,GDP_Loss_IF_Valid,GDP_LOF_Label,GDP_Loss_LOF_Label,GDP_LOF_Valid,GDP_Loss_LOF_Valid,Coords_IF_Label,Coords_IF_Valid,DBSCAN_Cluster,Coords_DBSCAN_Valid,Total_Deaths_DBSCAN_Cluster,Total_Deaths_DBSCAN_Valid
Ukraine,France,Cold Conflict,2000,1537,13961,10882,133101,214.66,26.2,1791.9,Forest,1235.8,646.7,20952.8,13565.3,Regional,NATO,Nuclear,3677,15,No,12.24,No,Stalemate,59.751,94.784,Temperate,Oil,0,1,0,1,0,0,0,1,1,157944,0.8427100744567695,11.297135458812106,16.82696768207824,1,1,1,1,1,0.0062187663863306495,1,1,1,1,1,1,1,1,1,1,0,1,0,1
USA,Israel,Cold Conflict,1992,217,13615,21751,152427,144.3,7.2,1491.4,Plains,352.8,706.7,1208.3,24034.2,,Regional,Cyber,3519,73,No,6.51,No,Victory_B,-43.838,-68.006,Temperate,Oil,0,1,0,1,0,0,0,1,1,187793,0.8116756215620391,38.59126984126984,30.778265176170933,1,1,1,1,1,0.0057165494701396456,-1,1,0,0,-1,1,0,1,1,1,2,1,0,1
Germany,China,Skirmish,1991,266,16700,14718,166220,404.64,1.1,2541.8,Plains,469.7,1019.5,12398.4,17674.1,,,Cyber,2369,70,Yes,0.87,Yes,Stalemate,72.952,104.247,Temperate,Water,0,1,0,1,1,0,0,1,1,197638,0.841032594946316,35.554609325101126,14.436488474742522,1,1,1,1,1,0.013455482583755923,1,1,1,1,1,1,1,1,1,1,8,1,0,1
Ukraine,UK,Civil War,1991,724,17843,18360,9784,97.68,-3.6,2843.3,Forest,406.5,886.1,3721.2,16883.2,,NATO,Nuclear,2593,114,Yes,10.14,Yes,Victory_B,-2.125,-66.177,Tropical,Water,0,1,0,1,0,0,0,1,1,45987,0.21275577880705418,43.89421894218942,20.720009028326373,1,1,1,1,1,0.004740734988643203,1,1,1,1,1,1,1,1,1,1,2,1,0,1
Japan,Ukraine,Cold Conflict,1985,775,3874,10127,39655,71.73,21.1,2163.2,Forest,99.3,28.2,12431.3,15926.7,Regional,,Cyber,1657,36,Yes,15.07,Yes,Victory_A,69.263,-135.435,Temperate,,0,1,0,1,1,0,0,1,1,53656,0.7390599373788579,39.01309164149043,359.11347517730496,1,1,1,1,0,0.002529444953804923,1,1,1,1,1,1,1,1,1,1,80,1,0,1
USA,Australia,War,1976,1848,21901,14086,77982,13.11,5.1,247.1,Mountain,707.2,168.5,11440.7,8259.3,,Regional,Cyber,3377,196,No,12.02,No,Victory_B,76.718,107.187,Tropical,Land,0,1,0,1,0,0,0,0,1,113969,0.6842386964876414,30.968608597285066,83.59643916913947,1,1,1,1,1,0.0006654822335025381,1,1,1,1,1,1,1,1,1,1,8,1,0,1
Australia,UK,War,2007,1104,37795,45268,186741,118.6,1.7,2011.9,Desert,614.2,226.6,22894.6,24666.6,Regional,,Nuclear,4037,54,Yes,19.9,Yes,Victory_B,28.314,94.501,Tropical,Oil,0,1,0,1,0,0,0,1,1,269804,0.6921357726349499,61.53533051123412,199.77052074139453,1,1,1,1,1,0.0024936292608260515,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Australia,Brazil,Proxy War,1995,1701,28953,3626,124159,387.12,33.0,1940.8,Plains,194.3,296.6,24892.6,8934.2,NATO,NATO,Mixed,345,166,No,13.1,No,Victory_B,59.355,-119.101,Arid,Water,0,1,0,1,0,0,0,1,1,156738,0.7921435771797521,149.01183736489963,12.225219150370869,1,1,1,1,1,0.011444180354038809,1,1,1,1,1,1,1,1,1,1,9,1,0,1
Ukraine,Russia,Proxy War,1976,401,48944,38386,40172,197.71,27.8,1468.3,Mountain,1034.7,1058.1,21908.4,7521.2,NATO,Regional,Mixed,2772,190,Yes,14.29,Yes,Victory_A,0.576,123.711,Temperate,Water,0,1,0,0,0,0,0,1,1,127502,0.3150695675361955,47.30259978737798,36.27823457140157,1,1,1,1,1,0.006718066164677739,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Iran,Ukraine,Proxy War,2023,724,40234,35525,111563,122.48,16.9,2906.2,Desert,1042.7,91.4,15203.7,19547.7,NATO,,Mixed,2706,111,No,10.74,Yes,Victory_B,-23.055,149.553,Temperate,Water,0,1,0,1,0,0,0,1,1,187322,0.5955680592776076,38.586362328570054,388.67614879649886,1,1,1,1,1,0.0035244623238200475,1,1,1,1,1,1,1,1,1,1,10,1,0,1
Japan,Ukraine,Skirmish,2019,298,20111,38726,22202,272.17,17.5,2826.6,Forest,356.3,913.8,19817.9,7555.5,,Regional,Mixed,675,66,Yes,15.48,No,Victory_A,69.981,-151.556,Tropical,Oil,0,1,0,1,0,0,0,1,1,81039,0.2739668554646528,56.444007858546165,42.379076384329174,1,1,1,1,1,0.009942864240467022,1,1,1,1,1,1,1,1,1,1,7,1,0,1
Russia,China,Cold Conflict,2002,1341,42953,23807,84788,16.19,34.9,2029.9,Forest,33.5,442.3,20455.3,11864.9,,,Cyber,475,189,Yes,3.05,No,Victory_A,-83.099,104.051,Arid,Land,0,1,0,1,1,0,0,1,1,151548,0.55947950484335,1282.1791044776119,53.82545783404929,1,-1,1,0,1,0.000500925118037636,1,1,1,1,1,1,1,1,1,1,95,1,0,1
UK,Germany,Skirmish,2015,570,19759,19313,157567,309.5,33.9,638.9,Mountain,1209.7,632.0,9659.2,387.4,NATO,Regional,Cyber,325,28,No,14.4,Yes,Stalemate,79.821,-45.858,Arid,Land,0,1,0,1,0,0,0,1,1,196639,0.8013008609685769,16.333801769033645,30.55854430379747,1,1,1,1,1,0.03080644198037147,1,1,1,1,1,1,1,1,1,1,11,1,0,1
Russia,USA,Skirmish,2007,509,36918,10501,132317,27.79,33.5,1080.3,Mountain,35.8,29.1,6446.0,1856.0,Regional,NATO,Nuclear,3263,30,No,16.69,No,Victory_B,-21.588,148.3,Arid,Land,0,1,0,1,1,0,0,1,1,179736,0.7361741665553924,1031.2290502793296,360.8591065292096,1,-1,1,0,1,0.003347386172006745,1,1,1,1,1,1,1,1,1,1,10,1,0,1
UK,China,Cold Conflict,1971,546,21409,26076,191071,342.55,34.6,1813.9,Desert,110.5,1236.7,21977.0,15638.9,Regional,,Nuclear,4253,38,Yes,9.15,No,Victory_A,47.488,84.239,Tropical,Oil,0,1,0,1,1,0,0,1,1,238556,0.800948205033619,193.74660633484163,21.085145952939275,1,1,1,1,1,0.009106521444389207,1,1,1,1,1,1,1,1,1,1,0,1,0,1
Ukraine,Ukraine,Cold Conflict,1950,1498,23576,18471,42163,293.36,32.6,1398.8,Mountain,1078.7,1313.1,6596.3,4436.4,Regional,NATO,Nuclear,900,148,No,4.24,No,Victory_B,58.54,53.588,Temperate,Oil,0,1,0,0,0,0,0,1,1,84210,0.5006887543047144,21.855937702790396,14.066712360063972,1,1,1,1,1,0.02659004595429949,1,1,1,1,1,-1,1,0,1,1,12,1,0,1
Canada,Israel,War,2013,1275,27866,28223,71683,1.92,17.8,1982.5,Forest,209.4,1001.1,197.5,15062.3,NATO,,Cyber,2487,129,Yes,18.56,No,Victory_B,-78.879,-152.68,Arid,Oil,0,1,0,1,0,0,0,1,1,127772,0.5610227592899852,133.07545367717287,28.191988812306462,1,1,1,1,1,0.00012582078402076043,1,1,1,1,-1,1,0,1,-1,0,-1,0,0,1
UK,Turkey,War,1994,1871,18930,23974,41654,379.88,-5.9,38.8,Urban,1337.8,1350.6,23335.2,16569.7,Regional,,Conventional,2535,141,No,17.43,No,Stalemate,41.81,57.287,Arid,Land,0,1,0,1,0,0,0,1,1,84558,0.4926086236665957,14.150097174465541,17.750629349918555,1,1,1,1,1,0.009519632927284619,1,1,1,1,1,1,1,1,1,1,13,1,0,1
India,Japan,Cold Conflict,2014,763,11630,14381,32171,394.51,-5.1,1026.3,Mountain,1019.3,1176.1,1283.4,1972.7,NATO,,Nuclear,1043,130,Yes,3.63,Yes,Victory_A,-73.312,119.5,Arid,Land,0,1,0,1,1,1,0,1,1,58182,0.5529373345708295,11.409791033061905,12.227701726043705,1,1,1,1,1,0.12116028377506832,1,-1,1,1,1,1,1,1,1,1,14,1,0,1
Turkey,Canada,Skirmish,2023,1204,28442,22389,125065,59.04,-3.6,2888.0,Forest,1194.0,799.2,11774.8,10059.9,NATO,NATO,Nuclear,3674,4,No,2.46,No,Victory_A,-79.1,71.07,Arid,,0,1,0,1,0,0,0,1,1,175896,0.711016737162869,23.820770519262982,28.014264264264263,1,1,1,1,1,0.002703952882338663,1,1,1,1,1,1,1,1,1,1,15,1,0,1
Ukraine,Japan,Proxy War,1977,149,2731,42072,175307,88.7,14.8,2789.1,Mountain,1295.3,162.3,23880.6,8894.2,,,Cyber,3291,128,No,3.13,Yes,Victory_B,67.91,15.423,Temperate,Land,0,1,0,1,0,0,0,1,1,220110,0.7964517741129435,2.1083918783293445,259.2236598890943,1,1,1,1,1,0.0027063475597105093,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Israel,France,Skirmish,1965,583,18005,46974,140800,341.15,21.8,2221.8,Forest,1374.4,667.4,15192.6,15989.0,Regional,Regional,Nuclear,2921,119,No,2.26,No,Victory_A,50.352,-84.558,Tropical,Land,0,1,0,1,0,0,0,1,1,205779,0.6842291973427803,13.100261932479627,70.38357806412947,1,1,1,1,1,0.01094074710726839,1,1,1,1,1,1,1,1,1,1,5,1,0,1
Brazil,Ukraine,Skirmish,2008,121,19156,1410,168754,265.28,20.8,853.8,Mountain,794.7,672.7,22468.4,23726.4,Regional,Regional,Cyber,172,42,No,13.82,No,Victory_B,64.713,-68.313,Temperate,Oil,0,1,0,1,0,0,0,1,1,189320,0.8913691105007395,24.10469359506732,2.0960309201724394,1,1,1,1,1,0.005742637699481326,1,1,1,1,1,1,1,1,1,1,16,1,0,1
Turkey,USA,Cold Conflict,2003,765,44238,29246,46285,41.69,13.2,1136.6,Forest,1243.9,864.7,16827.3,17597.5,,Regional,Nuclear,3021,91,Yes,10.34,No,Victory_B,66.3,0.583,Tropical,,0,1,0,1,0,0,0,0,1,119769,0.38645225392213345,35.56395208618056,33.82213484445472,1,1,1,1,1,0.0012110455253189559,1,1,1,1,1,1,1,1,1,1,17,1,0,1
Brazil,Israel,War,1992,1333,7563,15946,136940,248.07,23.4,2582.5,Desert,892.6,843.1,2889.3,17250.1,NATO,NATO,Cyber,3976,169,No,6.32,Yes,Stalemate,28.039,121.924,Arid,,0,1,0,1,0,0,0,0,1,160449,0.8534799219689746,8.473000224064531,18.913533388684616,1,1,1,1,1,0.012317646007328919,1,1,1,1,1,1,1,1,1,1,94,1,0,1
China,Ukraine,Proxy War,1962,1022,1880,26658,124663,59.71,28.1,2946.3,Desert,445.2,1081.3,21899.0,20234.2,Regional,,Cyber,408,6,Yes,18.48,No,Victory_B,-81.635,57.503,Tropical,,0,1,0,1,1,0,0,1,1,153201,0.8137218425467196,4.22282120395328,24.65365763432905,1,1,1,1,1,0.001417172206241159,1,1,1,1,1,1,1,1,1,1,15,1,0,1
Iran,Russia,Proxy War,1959,1093,26207,43288,164271,204.6,4.8,2736.1,Mountain,1315.4,704.7,9820.0,6667.3,NATO,Regional,Nuclear,3549,174,Yes,5.88,Yes,Victory_B,-75.843,-88.491,Tropical,,0,1,0,0,0,0,0,1,1,233766,0.7027155360488694,19.923217272312602,61.42755782602526,1,1,1,1,1,0.012409551594257398,1,1,1,1,1,1,1,1,1,1,4,1,0,1
Germany,Germany,War,1990,388,42292,33336,168246,105.61,-8.0,2324.2,Mountain,1017.2,517.2,23050.7,10299.6,Regional,Regional,Conventional,4022,89,No,1.82,Yes,Victory_A,58.767,159.596,Polar,Water,0,1,0,1,0,0,0,1,1,243874,0.6898890410621878,41.576877703499804,64.45475638051043,1,1,1,1,1,0.0031666881557287337,1,1,1,1,1,1,1,1,1,1,18,1,0,1
Germany,Brazil,Skirmish,2008,1251,33693,48502,60096,22.24,26.8,921.8,Desert,1385.0,742.4,2107.0,14084.9,Regional,NATO,Cyber,4177,89,No,3.37,Yes,Victory_B,-79.966,47.752,Polar,,0,1,0,1,0,0,0,1,1,142291,0.4223457562319472,24.32707581227437,65.3313577586207,1,1,1,1,1,0.001373526269307493,1,1,1,1,1,1,1,1,1,1,19,1,0,1
Turkey,Ukraine,Cold Conflict,1952,1650,23760,32176,97554,274.89,10.7,2595.0,Forest,955.4,1183.3,15444.4,8753.9,Regional,Regional,Conventional,3755,61,Yes,13.02,No,Victory_B,-67.061,139.607,Arid,Water,0,1,0,1,0,0,0,1,1,153490,0.6355723499902274,24.869164747749632,27.191751880334657,1,1,1,1,1,0.01135988891781654,1,1,1,1,1,1,1,1,1,1,14,1,0,1
China,USA,Skirmish,1956,1208,2495,14901,115644,39.14,27.1,2335.7,Urban,271.9,1274.1,8411.1,3678.0,NATO,NATO,Conventional,4069,193,No,6.35,Yes,Victory_A,65.439,-90.911,Arid,Land,0,1,0,1,1,1,0,1,1,133040,0.8692423331328923,9.176167708716441,11.69531433953379,1,1,1,1,1,0.003237627284082355,1,1,1,1,1,1,1,1,1,1,20,1,0,1
Iran,China,War,1981,1733,45955,40758,143994,378.93,-9.3,1479.6,Forest,189.8,935.3,5851.3,4798.4,Regional,NATO,Conventional,2608,68,No,12.59,No,Stalemate,60.138,18.933,Tropical,,0,1,0,1,1,0,0,0,1,230707,0.6241423103763648,242.12328767123287,43.57746177696996,1,1,1,1,1,0.035581283979830416,1,1,1,1,1,1,1,1,1,1,32,1,0,1
Brazil,USA,Cold Conflict,1985,293,27740,46436,121153,200.93,31.7,1634.3,Mountain,1157.1,1316.3,20404.2,1968.0,NATO,NATO,Nuclear,1749,128,Yes,13.68,No,Stalemate,-9.414,32.696,Tropical,Land,0,1,0,1,0,0,0,1,1,195329,0.620250961198798,23.973727422003286,35.2776722631619,1,1,1,1,1,0.008981235640661177,1,1,1,1,1,1,1,1,1,1,21,1,0,1
Iran,UK,Proxy War,1981,485,6892,34059,128876,35.55,25.9,994.6,Plains,704.9,1133.4,19384.1,18815.7,Regional,Regional,Mixed,3166,184,No,3.65,Yes,Stalemate,-18.893,-55.305,Arid,Land,0,1,0,1,0,0,0,1,1,169827,0.7588663757824139,9.77727337210952,30.050291159343566,1,1,1,1,1,0.00093063314467615,1,1,1,1,1,1,1,1,1,1,2,1,0,1
Iran,China,Civil War,2005,1716,20112,3146,191134,25.58,3.0,1517.5,Mountain,891.0,102.1,2750.1,22215.6,,Regional,Cyber,1350,14,No,13.1,Yes,Victory_A,52.232,-55.12,Temperate,Oil,0,1,0,1,1,0,0,0,1,214392,0.891516474495317,22.57239057239057,30.81292850146915,1,1,1,1,1,0.0010246057591014872,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Brazil,Israel,War,1984,1916,34433,44618,141882,239.71,-8.6,1934.1,Plains,346.1,1044.9,13716.6,75.5,,Regional,Cyber,1994,73,Yes,18.07,No,Stalemate,22.435,94.669,Temperate,,0,1,0,1,0,0,0,1,1,220933,0.6421946925085886,99.48858711355099,42.70073691262321,1,1,1,1,1,0.017380239412417252,1,1,1,1,1,1,1,1,1,1,22,1,0,1
China,USA,War,1985,1758,4196,8143,144791,108.7,12.7,136.4,Desert,829.9,258.7,14788.0,10689.1,NATO,,Mixed,3282,35,Yes,6.94,No,Victory_A,71.24,-168.649,Temperate,,0,1,0,1,1,1,0,0,1,157130,0.9214726659453956,5.056030847090011,31.476613838422885,1,1,1,1,1,0.004266576651188715,1,1,1,1,1,1,1,1,-1,0,1,1,0,1
Turkey,France,Proxy War,2004,1810,1119,37776,25273,379.57,28.1,2515.7,Forest,690.2,621.4,12573.9,10850.3,,NATO,Nuclear,4133,52,No,1.91,Yes,Stalemate,-12.772,-73.614,Polar,,0,1,0,1,0,0,0,1,1,64168,0.39385675102855006,1.621269197334106,60.79176054071452,1,1,1,1,1,0.01620418199981216,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Ukraine,Australia,Proxy War,1985,816,11564,23332,165265,375.54,2.5,1972.7,Urban,101.2,1051.5,21212.3,2170.1,NATO,NATO,Conventional,2256,194,Yes,17.61,Yes,Victory_A,21.809,104.778,Tropical,,0,1,0,1,0,0,0,1,1,200161,0.825660343423544,114.26877470355731,22.189253447456014,1,1,1,1,1,0.016060797865060903,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
Israel,Japan,Cold Conflict,2017,1448,12539,42741,155362,169.89,31.2,689.5,Forest,510.3,1312.5,5634.8,24772.7,Regional,NATO,Conventional,3985,135,No,12.77,Yes,Victory_A,75.492,-18.919,Tropical,,0,1,0,1,0,0,0,0,1,210642,0.7375642084674472,24.571820497746423,32.564571428571426,1,1,1,1,1,0.005587108443640549,1,1,1,1,1,1,1,1,1,1,44,1,0,1
Israel,Russia,Proxy War,1999,1849,28540,19689,51550,458.91,19.8,1187.3,Forest,1121.6,489.8,14848.9,1223.6,,,Mixed,1482,34,No,0.79,Yes,Stalemate,-13.794,-59.876,Polar,Oil,0,1,0,1,0,0,0,1,1,99779,0.5166417783301095,25.445791726105565,40.198040016333195,1,1,1,1,1,0.02855249650023332,1,1,1,1,1,1,1,1,1,1,2,1,0,1
USA,India,Cold Conflict,1990,520,3373,47482,63975,333.41,34.8,1656.2,Mountain,485.2,71.1,13916.5,24469.7,Regional,NATO,Nuclear,1949,143,Yes,0.1,Yes,Stalemate,67.36,112.651,Temperate,,0,1,0,1,1,0,0,1,1,114830,0.5571279282417487,6.951772464962902,667.8199718706048,1,1,1,1,1,0.008685673497246407,1,1,1,1,1,1,1,1,1,1,23,1,0,1
Japan,Iran,Cold Conflict,1967,1152,15430,6606,91029,235.84,-8.9,878.2,Mountain,111.3,1050.0,20030.2,3704.7,NATO,,Cyber,2443,70,Yes,12.88,No,Victory_A,68.665,168.647,Tropical,Land,0,1,0,1,1,0,0,1,1,113065,0.8051032591871932,138.63432165318957,6.291428571428572,1,1,1,1,1,0.009936422736139608,1,1,1,1,1,1,1,1,1,1,24,1,0,1
France,France,Proxy War,1971,1397,21594,28942,96405,389.62,30.5,2952.2,Urban,372.4,357.2,14066.5,20765.9,Regional,NATO,Cyber,3133,162,No,18.32,No,Victory_A,16.306,-98.233,Tropical,Water,0,1,0,1,0,0,0,1,1,146941,0.6560796510163943,57.98603651987111,81.02463605823068,1,1,1,1,1,0.011185562866756238,1,1,1,1,1,1,1,1,1,1,85,1,0,1
Brazil,India,Skirmish,1970,638,3312,21931,194774,30.4,6.4,1322.9,Urban,1044.1,337.4,1242.5,9358.6,NATO,Regional,Mixed,2134,187,Yes,17.49,No,Victory_A,71.597,-66.414,Temperate,Land,0,1,0,1,1,0,0,0,1,220017,0.8852679565669925,3.172109951154104,65.0,1,1,1,1,1,0.0028676269443736967,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
USA,China,Cold Conflict,1993,159,35623,8883,182209,47.92,-2.4,309.8,Desert,168.7,1158.1,12383.8,17342.8,Regional,NATO,Conventional,1861,11,Yes,11.33,Yes,Victory_A,22.359,-11.84,Arid,Water,0,1,0,1,1,1,0,1,1,226715,0.8036918598240081,211.1618257261411,7.670322079267767,1,1,1,1,1,0.0016120242476435247,1,1,1,1,1,1,1,1,1,1,6,1,0,1
Ukraine,France,Skirmish,1996,1595,18005,11270,54959,19.05,24.1,781.9,Mountain,1090.2,1341.7,20319.2,23634.7,NATO,NATO,Cyber,610,176,Yes,1.96,Yes,Victory_B,-48.636,-71.652,Polar,Land,0,1,0,1,0,0,0,1,1,84234,0.6524562528195266,16.515318290221977,8.399791309532683,1,1,1,1,1,0.00043340863950639194,1,1,1,1,1,1,1,1,1,1,25,1,0,1
Brazil,Russia,War,1978,652,1180,40190,27647,412.94,14.9,1678.5,Mountain,951.5,327.5,20853.0,6526.6,NATO,,Nuclear,4741,79,Yes,9.85,Yes,Victory_B,48.58,100.513,Polar,Land,0,1,0,1,0,0,0,1,1,69017,0.40058246518973584,1.2401471361008933,122.7175572519084,1,1,1,1,1,0.015082031877748397,1,1,1,1,1,1,1,1,1,1,0,1,0,1
Russia,Turkey,Civil War,2009,620,48369,16308,74350,454.75,24.7,1103.7,Mountain,976.4,600.7,4542.8,2795.3,Regional,Regional,Nuclear,828,162,No,15.15,No,Victory_B,-18.015,-70.317,Arid,,0,1,0,1,0,0,0,1,1,139027,0.5347882066073496,49.53809913969685,27.14832695188946,1,1,1,1,1,0.06197108243278233,1,-1,1,1,1,1,1,1,1,1,26,1,0,1
Australia,Ukraine,Proxy War,1963,916,12602,8785,68007,53.59,-9.2,2865.9,Forest,588.7,304.9,1502.2,3043.1,,,Mixed,265,98,Yes,3.22,Yes,Stalemate,-80.854,-75.896,Polar,Oil,0,1,0,1,0,0,0,1,1,89394,0.7607557554198269,21.406488873789705,28.81272548376517,1,1,1,1,1,0.011790200866829472,1,1,1,1,1,1,1,1,1,1,-1,0,0,1
UK,Turkey,Proxy War,2008,1381,38058,13878,174837,146.37,0.9,1176.1,Mountain,276.2,861.1,7474.2,10069.8,NATO,NATO,Mixed,1289,66,Yes,3.34,No,Victory_B,80.736,-65.215,Arid,Land,0,1,0,1,0,0,0,1,1,226773,0.7709780264846344,137.79145546705286,16.11659505283939,1,1,1,1,1,0.008343023255813953,1,1,1,1,1,1,1,1,1,1,27,1,0,1
